Period TotalPp PpAccepted Percent
0 227 227 100
1 244 244 100
2 217 216 99
3 204 204 100
4 178 178 100
5 192 191 99
6 164 164 100
7 208 208 100
8 221 221 100
9 143 143 100
10 110 107 97
11 95 95 100
12 65 65 100
13 74 74 100
14 56 56 100
15 48 48 100
16 48 47 97
17 48 47 97
18 39 39 100
19 47 44 93
20 44 44 100
21 50 50 100
22 53 53 100
23 81 79 97
24 71 71 100
25 73 73 100
26 84 84 100
27 101 99 98
28 91 91 100
29 137 136 99
30 151 151 100
31 155 150 96
32 164 154 93
33 176 171 97
34 202 191 94
35 189 187 98
36 170 167 98
37 182 176 96
38 203 190 93
39 198 176 88
40 199 188 94
41 174 163 93
42 193 170 88
43 194 185 95
44 204 189 92
45 201 193 96
46 201 181 90
47 235 216 91
48 207 197 95
49 206 184 89
50 170 155 91
51 182 181 99
52 199 185 92
53 208 198 95
54 208 189 90
55 196 187 95
56 226 210 92
57 187 175 93
58 223 222 99
59 205 205 100
60 183 183 100
61 160 160 100
62 207 203 98
63 228 228 100
64 190 190 100
65 181 180 99
66 184 182 98
67 191 191 100
68 226 224 99
69 220 220 100
70 253 253 100
71 271 271 100
72 245 245 100
73 297 295 99
74 306 306 100
75 270 270 100
76 298 296 99
77 310 309 99
78 317 315 99
79 312 310 99
80 319 0 0
81 317 0 0
82 309 0 0
83 322 0 0
84 295 0 0
85 275 0 0
86 276 0 0
87 313 0 0
88 314 0 0
89 293 0 0
90 311 0 0
91 309 0 0
92 289 0 0
93 279 0 0
94 273 0 0
95 257 0 0
Average of percentage: 81
