Period TotalPp PpAccepted Percent
0 259 258 99
1 262 259 98
2 233 233 100
3 229 227 99
4 187 186 99
5 176 175 99
6 189 189 100
7 190 190 100
8 175 174 99
9 154 154 100
10 120 120 100
11 88 86 97
12 69 68 98
13 59 59 100
14 56 56 100
15 41 40 97
16 46 44 95
17 56 56 100
18 54 54 100
19 56 56 100
20 52 52 100
21 79 78 98
22 65 65 100
23 73 72 98
24 65 65 100
25 80 80 100
26 96 96 100
27 107 103 96
28 101 101 100
29 131 130 99
30 141 136 96
31 171 161 94
32 171 162 94
33 202 190 94
34 185 178 96
35 184 181 98
36 203 203 100
37 200 194 97
38 190 178 93
39 200 198 99
40 183 166 90
41 195 184 94
42 183 171 93
43 176 152 86
44 176 158 89
45 211 210 99
46 216 190 87
47 221 201 90
48 208 191 91
49 185 173 93
50 186 185 99
51 216 209 96
52 174 154 88
53 196 185 94
54 227 216 95
55 204 193 94
56 215 205 95
57 186 182 97
58 211 209 99
59 195 195 100
60 194 193 99
61 194 193 99
62 214 214 100
63 159 157 98
64 213 212 99
65 214 211 98
66 193 192 99
67 196 194 98
68 219 219 100
69 249 247 99
70 240 239 99
71 234 233 99
72 279 276 98
73 290 290 100
74 304 303 99
75 308 308 100
76 332 329 99
77 306 305 99
78 340 333 97
79 319 318 99
80 295 0 0
81 273 0 0
82 299 0 0
83 272 0 0
84 317 0 0
85 298 0 0
86 287 0 0
87 293 0 0
88 316 0 0
89 312 0 0
90 283 0 0
91 280 0 0
92 297 0 0
93 322 0 0
94 275 0 0
95 262 0 0
Average of percentage: 81
